region,outil,esea_2023,demi_intervalle
NOUVELLE AQUITAINE,Système de pulvérisation en bandes,4753,550
NOUVELLE AQUITAINE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,6148,565
NOUVELLE AQUITAINE,dont équipé d'un capteur d'avancement de type DPA,11865,723
NOUVELLE AQUITAINE,Épandeur d'engrais minéraux localisé (raie de semins),6830,591
NOUVELLE AQUITAINE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),7456,585
NOUVELLE AQUITAINE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,265,89
NOUVELLE AQUITAINE,Equipements disposant de guidage de haute précision GPS,8091,619
NOUVELLE AQUITAINE,Equipements pilotés à l'aide d'une caméra,1033,269
NOUVELLE AQUITAINE,Équipements pilotés par un logiciel de cartographie,1244,220

OCCITANIE,Système de pulvérisation en bandes,2922,468
OCCITANIE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,4119,644
OCCITANIE,dont équipé d'un capteur d'avancement de type DPA,6331,674
OCCITANIE,Épandeur d'engrais minéraux localisé (raie de semins),4710,641
OCCITANIE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),4885,657
OCCITANIE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,423,257
OCCITANIE,Equipements disposant de guidage de haute précision GPS,4725,627
OCCITANIE,Equipements pilotés à l'aide d'une caméra,793,393
OCCITANIE,Équipements pilotés par un logiciel de cartographie,1162,346

PAYS DE LA LOIRE,Système de pulvérisation en bandes,876,191
PAYS DE LA LOIRE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,4834,540
PAYS DE LA LOIRE,dont équipé d'un capteur d'avancement de type DPA,8197,602
PAYS DE LA LOIRE,Épandeur d'engrais minéraux localisé (raie de semins),4228,532
PAYS DE LA LOIRE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),4402,504
PAYS DE LA LOIRE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,1862,322
PAYS DE LA LOIRE,Equipements disposant de guidage de haute précision GPS,6436,568
PAYS DE LA LOIRE,Equipements pilotés à l'aide d'une caméra,643,228
PAYS DE LA LOIRE,Équipements pilotés par un logiciel de cartographie,1178,275

PROVENCE ALPES COTE D AZUR,Système de pulvérisation en bandes,643,110
PROVENCE ALPES COTE D AZUR,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,336,123
PROVENCE ALPES COTE D AZUR,dont équipé d'un capteur d'avancement de type DPA,946,135
PROVENCE ALPES COTE D AZUR,Épandeur d'engrais minéraux localisé (raie de semins),812,160
PROVENCE ALPES COTE D AZUR,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),563,108
PROVENCE ALPES COTE D AZUR,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,14,7
PROVENCE ALPES COTE D AZUR,Equipements disposant de guidage de haute précision GPS,527,95
PROVENCE ALPES COTE D AZUR,Equipements pilotés à l'aide d'une caméra,67,29
PROVENCE ALPES COTE D AZUR,Équipements pilotés par un logiciel de cartographie,84,40

Total France métropolitaine,Système de pulvérisation en bandes,16888,1005
Total France métropolitaine,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,49265,1521
Total France métropolitaine,dont équipé d'un capteur d'avancement de type DPA,84199,1799
Total France métropolitaine,Épandeur d'engrais minéraux localisé (raie de semins),38998,1482
Total France métropolitaine,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),53022,1541
Total France métropolitaine,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,6794,656
Total France métropolitaine,Equipements disposant de guidage de haute précision GPS,58708,1585
Total France métropolitaine,Equipements pilotés à l'aide d'une caméra,7292,740
Total France métropolitaine,Équipements pilotés par un logiciel de cartographie,11787,807
